Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Prometryn,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Propazin,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Propiconazol,Pestizide und Metaboliten,ng/L,50.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Simazin,Pestizide und Metaboliten,ng/L,20.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Sulcotrion,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin,Pestizide und Metaboliten,ng/L,10.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin CGA 324007,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin LM2,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin LM4,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin SYN545666,Pestizide und Metaboliten,ng/L,20.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin-desethyl,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbuthylazin-desethyl-2-hydroxy,Pestizide und Metaboliten,ng/L,10.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Terbutryn,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,aggressive Kohlensäure,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mg/L,,-2.3,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Calciumhärte,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mmol/L,0.49,1.34,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,freie Kohlensäure,"pH, Leitfähigkeit, Härten und Kalk-Kohlensäure Gleichgewicht",mg/L,,4.8,,,Seewasserwerk Moos,47.33180605,8.531245451906134
