Date,Temperature (°C)
2024-01-01,6.9
2024-01-02,6.9
2024-01-03,7.0
2024-01-04,7.0
2024-01-05,6.9
2024-01-06,6.9
2024-01-07,6.8
2024-01-08,6.7
2024-01-09,6.5
2024-01-10,6.3
2024-01-11,6.3
2024-01-12,6.2
2024-01-13,6.1
2024-01-14,6.1
2024-01-15,6.0
2024-01-16,5.9
2024-01-17,6.0
2024-01-18,6.2
2024-01-19,6.0
2024-01-20,5.8
2024-01-21,5.7
2024-01-22,5.7
2024-01-23,5.8
2024-01-24,5.9
2024-01-25,6.0
2024-01-26,6.2
2024-01-27,6.1
2024-01-28,6.0
2024-01-29,6.0
2024-01-30,6.0
2024-01-31,6.0
2024-02-01,6.0
2024-02-02,6.1
2024-02-03,6.1
2024-02-04,6.1
2024-02-05,6.1
2024-02-06,6.1
2024-02-07,6.1
2024-02-08,6.1
2024-02-09,6.2
2024-02-10,6.2
2024-02-11,6.2
2024-02-12,6.1
2024-02-13,6.2
2024-02-14,6.3
2024-02-15,6.4
2024-02-16,6.5
2024-02-17,6.3
2024-02-18,6.3
2024-02-19,6.3
2024-02-20,6.3
2024-02-21,6.5
2024-02-22,6.7
2024-02-23,6.7
2024-02-24,6.6
2024-02-25,6.8
2024-02-26,6.8
2024-02-27,6.6
2024-02-28,6.5
2024-02-29,6.5
2024-03-01,6.6
2024-03-02,6.7
2024-03-03,6.8
2024-03-04,6.8
2024-03-05,6.7
2024-03-06,6.7
2024-03-07,6.7
2024-03-08,6.6
2024-03-09,6.7
2024-03-10,6.9
2024-03-11,7.0
2024-03-12,7.1
2024-03-13,6.9
2024-03-14,7.1
2024-03-15,7.6
2024-03-16,7.6
2024-03-17,7.4
2024-03-18,7.6
2024-03-19,7.7
2024-03-20,7.9
2024-03-21,8.4
2024-03-22,9.2
2024-03-23,8.7
2024-03-24,7.3
2024-03-25,7.1
2024-03-26,7.6
2024-03-27,7.8
2024-03-28,7.5
2024-03-29,7.6
2024-03-30,7.9
2024-03-31,8.0
2024-04-01,8.0
2024-04-02,8.1
2024-04-03,8.0
2024-04-04,8.1
2024-04-05,8.4
2024-04-06,9.1
2024-04-07,10.0
2024-04-08,9.9
2024-04-09,9.7
2024-04-10,9.5
2024-04-11,9.0
2024-04-12,9.3
2024-04-13,10.8
