Date,Temperature (°C)
2022-01-01,7.0
2022-01-02,6.9
2022-01-03,6.9
2022-01-04,7.0
2022-01-05,6.8
2022-01-06,6.6
2022-01-07,6.5
2022-01-08,6.4
2022-01-09,6.3
2022-01-10,6.2
2022-01-11,6.2
2022-01-12,6.1
2022-01-13,6.0
2022-01-14,5.9
2022-01-15,5.9
2022-01-16,5.9
2022-01-17,5.9
2022-01-18,5.9
2022-01-19,5.9
2022-01-20,5.8
2022-01-21,5.8
2022-01-22,5.7
2022-01-23,5.7
2022-01-24,5.6
2022-01-25,5.6
2022-01-26,5.6
2022-01-27,5.5
2022-01-28,5.5
2022-01-29,5.6
2022-01-30,5.7
2022-01-31,5.6
2022-02-01,5.5
2022-02-02,5.4
2022-02-03,5.5
2022-02-04,5.5
2022-02-05,5.5
2022-02-06,5.4
2022-02-07,5.4
2022-02-08,5.4
2022-02-09,5.4
2022-02-10,5.5
2022-02-11,5.5
2022-02-12,5.6
2022-02-13,5.6
2022-02-14,5.5
2022-02-15,5.6
2022-02-16,5.5
2022-02-17,5.7
2022-02-18,5.6
2022-02-19,5.6
2022-02-20,5.5
2022-02-21,5.5
2022-02-22,5.5
2022-02-23,5.6
2022-02-24,5.6
2022-02-25,5.6
2022-02-26,5.5
2022-02-27,5.5
2022-02-28,5.5
2022-03-01,5.5
2022-03-02,5.6
2022-03-03,5.7
2022-03-04,5.6
2022-03-05,5.5
2022-03-06,5.4
2022-03-07,5.4
2022-03-08,5.3
2022-03-09,5.4
2022-03-10,5.6
2022-03-11,5.4
2022-03-12,5.5
2022-03-13,5.7
2022-03-14,6.1
2022-03-15,5.8
2022-03-16,6.3
2022-03-17,6.0
2022-03-18,5.6
2022-03-19,5.6
2022-03-20,5.8
2022-03-21,6.1
2022-03-22,6.3
2022-03-23,6.5
2022-03-24,7.1
2022-03-25,7.4
2022-03-26,6.9
2022-03-27,6.7
2022-03-28,7.9
2022-03-29,9.4
2022-03-30,9.9
2022-03-31,9.2
2022-04-01,7.2
2022-04-02,5.7
2022-04-03,5.6
2022-04-04,5.8
2022-04-05,6.3
2022-04-06,7.3
2022-04-07,7.6
2022-04-08,7.5
2022-04-09,7.3
2022-04-10,6.9
2022-04-11,7.5
2022-04-12,7.8
2022-04-13,9.6
2022-04-14,10.5
2022-04-15,9.2
2022-04-16,7.9
2022-04-17,7.1
2022-04-18,7.0
2022-04-19,9.2
2022-04-20,9.5
2022-04-21,7.7
2022-04-22,7.8
2022-04-23,9.0
2022-04-24,8.3
2022-04-25,9.0
2022-04-26,10.2
2022-04-27,9.5
2022-04-28,10.2
2022-04-29,10.2
2022-04-30,11.2
2022-05-01,11.9
2022-05-02,11.8
2022-05-03,12.6
2022-05-04,13.4
2022-05-05,14.1
2022-05-06,12.1
2022-05-07,11.2
2022-05-08,12.0
2022-05-09,12.5
2022-05-10,15.0
2022-05-11,16.2
2022-05-12,16.6
2022-05-13,15.5
2022-05-14,15.4
2022-05-15,15.9
2022-05-16,16.9
2022-05-17,17.4
2022-05-18,17.5
2022-05-19,18.7
2022-05-20,20.5
2022-05-21,16.3
2022-05-22,17.7
2022-05-23,18.2
2022-05-24,18.7
2022-05-25,19.2
2022-05-26,18.1
2022-05-27,17.0
2022-05-28,15.2
2022-05-29,16.8
2022-05-30,17.0
2022-05-31,18.3
2022-06-01,18.5
2022-06-02,18.6
2022-06-03,18.9
2022-06-04,19.4
2022-06-05,19.6
2022-06-06,20.0
2022-06-07,19.7
2022-06-08,19.9
2022-06-09,18.3
2022-06-10,19.0
2022-06-11,19.3
2022-06-12,20.2
2022-06-13,20.4
2022-06-14,19.5
2022-06-15,20.4
2022-06-16,22.0
2022-06-17,21.5
2022-06-18,22.4
2022-06-19,23.2
2022-06-20,23.2
2022-06-21,22.0
2022-06-22,23.5
2022-06-23,23.8
2022-06-24,23.0
2022-06-25,22.9
2022-06-26,23.2
2022-06-27,21.6
2022-06-28,21.1
2022-06-29,22.2
2022-06-30,22.8
2022-07-01,22.1
2022-07-02,21.9
2022-07-03,22.8
2022-07-04,22.8
2022-07-05,23.5
2022-07-06,23.5
2022-07-07,21.5
2022-07-08,20.3
2022-07-09,21.8
2022-07-10,22.3
2022-07-11,22.1
2022-07-12,22.3
2022-07-13,23.0
2022-07-14,24.0
2022-07-15,23.5
2022-07-16,22.4
2022-07-17,23.0
2022-07-18,23.4
2022-07-19,24.3
2022-07-20,25.4
2022-07-21,25.3
2022-07-22,25.5
2022-07-23,25.7
2022-07-24,25.9
2022-07-25,26.3
2022-07-26,25.1
2022-07-27,24.6
2022-07-28,25.0
2022-07-29,25.1
2022-07-30,24.9
2022-07-31,25.0
2022-08-01,25.2
2022-08-02,25.0
2022-08-03,25.6
2022-08-04,26.2
2022-08-05,26.7
2022-08-06,26.2
2022-08-07,24.5
2022-08-08,24.4
2022-08-09,24.2
2022-08-10,24.1
2022-08-11,24.1
2022-08-12,23.9
2022-08-13,23.6
2022-08-14,23.7
2022-08-15,23.7
2022-08-16,23.8
2022-08-17,24.2
2022-08-18,23.9
2022-08-19,23.6
2022-08-20,23.3
2022-08-21,23.2
2022-08-22,23.2
2022-08-23,23.2
2022-08-24,23.2
2022-08-25,23.4
2022-08-26,23.7
2022-08-27,23.6
2022-08-28,23.3
2022-08-29,23.1
2022-08-30,23.4
2022-08-31,23.2
2022-09-01,23.1
2022-09-02,22.9
2022-09-03,23.0
2022-09-04,23.1
2022-09-05,23.2
2022-09-06,23.2
2022-09-07,23.1
2022-09-08,22.8
2022-09-09,22.5
2022-09-10,22.1
2022-09-11,22.0
