Date,Temperature (°C)
2025-01-01,6.8
2025-01-02,6.8
2025-01-03,6.7
2025-01-04,6.6
2025-01-05,6.6
2025-01-06,6.7
2025-01-07,6.7
2025-01-08,6.6
2025-01-09,6.7
2025-01-10,6.6
2025-01-11,6.5
2025-01-12,6.3
2025-01-13,6.1
2025-01-14,6.0
2025-01-15,5.9
2025-01-16,6.0
2025-01-17,6.0
2025-01-18,5.9
2025-01-19,5.9
2025-01-20,5.9
2025-01-21,5.9
2025-01-22,5.8
2025-01-23,5.8
2025-01-24,5.9
2025-01-25,6.0
2025-01-26,6.0
2025-01-27,6.1
2025-01-28,6.1
2025-01-29,6.0
2025-01-30,6.0
2025-01-31,6.0
2025-02-01,5.6
2025-02-02,5.7
2025-02-03,5.7
2025-02-04,5.7
2025-02-05,5.8
2025-02-06,5.9
2025-02-07,5.8
2025-02-08,5.6
2025-02-09,5.5
2025-02-10,5.5
2025-02-11,5.5
2025-02-12,5.4
2025-02-13,5.4
2025-02-14,5.6
2025-02-15,5.7
2025-02-16,5.9
2025-02-17,6.1
2025-02-18,6.2
2025-02-19,6.0
2025-02-20,5.9
2025-02-21,5.8
2025-02-22,5.7
2025-02-23,6.3
2025-02-24,5.4
2025-02-25,5.7
2025-02-26,5.6
2025-02-27,5.7
2025-02-28,6.0
2025-03-01,5.8
2025-03-02,5.7
2025-03-03,5.8
2025-03-04,5.8
2025-03-05,6.0
2025-03-06,6.7
2025-03-07,7.2
2025-03-08,7.0
2025-03-09,8.0
2025-03-10,7.5
2025-03-11,7.2
2025-03-12,8.3
2025-03-13,8.0
2025-03-14,7.1
2025-03-15,7.8
2025-03-16,8.0
2025-03-17,7.2
2025-03-18,6.7
2025-03-19,8.7
2025-03-20,5.5
2025-03-21,6.0
2025-03-22,6.2
2025-03-23,6.7
2025-03-24,7.6
2025-03-25,8.4
2025-03-26,8.7
2025-03-27,6.9
2025-03-28,6.7
2025-03-29,7.0
2025-03-30,7.9
2025-03-31,9.4
