Date,Temperature (°C)
2020-01-01,6.7
2020-01-02,6.6
2020-01-03,6.6
2020-01-04,6.7
2020-01-05,6.6
2020-01-06,6.5
2020-01-07,6.5
2020-01-08,6.5
2020-01-09,6.5
2020-01-10,6.5
2020-01-11,6.6
2020-01-12,6.5
2020-01-13,6.4
2020-01-14,6.4
2020-01-15,6.3
2020-01-16,6.4
2020-01-17,6.4
2020-01-18,6.4
2020-01-19,6.2
2020-01-20,6.1
2020-01-21,6.0
2020-01-22,5.9
2020-01-23,5.8
2020-01-24,5.7
2020-01-25,5.7
2020-01-26,5.7
2020-01-27,5.9
2020-01-28,6.0
2020-01-29,5.8
2020-01-30,5.8
2020-01-31,6.0
2020-02-01,6.1
2020-02-02,6.2
2020-02-03,6.4
2020-02-04,6.3
2020-02-05,6.0
2020-02-06,5.9
2020-02-07,5.8
2020-02-08,5.9
2020-02-09,5.8
2020-02-10,6.0
2020-02-11,5.9
2020-02-12,5.8
2020-02-13,5.6
2020-02-14,5.6
2020-02-15,5.7
2020-02-16,5.8
2020-02-17,5.9
2020-02-18,5.9
2020-02-19,5.9
2020-02-20,5.8
2020-02-21,5.9
2020-02-22,6.0
2020-02-23,6.1
2020-02-24,6.2
2020-02-25,6.1
2020-02-26,5.9
2020-02-27,5.7
2020-02-28,5.6
2020-02-29,5.8
2020-03-01,6.0
2020-03-02,6.0
2020-03-03,6.0
2020-03-04,6.0
2020-03-05,6.0
2020-03-06,6.0
2020-03-07,5.9
2020-03-08,5.9
2020-03-09,6.0
2020-03-10,6.0
2020-03-11,6.2
2020-03-12,6.4
2020-03-13,6.4
2020-03-14,6.4
2020-03-15,6.5
2020-03-16,6.9
2020-03-17,7.1
2020-03-18,7.2
2020-03-19,8.0
2020-03-20,8.2
2020-03-21,8.2
2020-03-22,6.3
2020-03-23,6.1
2020-03-24,6.0
2020-03-25,5.8
2020-03-26,5.8
2020-03-27,6.0
2020-03-28,6.6
2020-03-29,6.6
2020-03-30,6.2
2020-03-31,6.1
2020-04-01,6.4
2020-04-02,6.6
2020-04-03,6.7
2020-04-04,6.5
2020-04-05,6.9
2020-04-06,7.3
2020-04-07,8.0
2020-04-08,9.4
2020-04-09,10.7
2020-04-10,10.8
2020-04-11,11.1
2020-04-12,11.8
2020-04-13,11.5
2020-04-14,8.0
2020-04-15,7.3
2020-04-16,10.1
2020-04-17,12.9
2020-04-18,14.0
2020-04-19,13.3
2020-04-20,10.3
2020-04-21,8.2
2020-04-22,9.5
2020-04-23,10.3
2020-04-24,12.7
2020-04-25,13.1
2020-04-26,13.5
2020-04-27,14.6
2020-04-28,15.4
2020-04-29,14.3
2020-04-30,14.4
2020-05-01,14.0
2020-05-02,13.0
2020-05-03,13.0
2020-05-04,14.2
2020-05-05,13.5
2020-05-06,10.2
2020-05-07,12.6
