Date,Temperature (°C)
2023-01-01,7.5
2023-01-02,7.5
2023-01-03,7.5
2023-01-04,7.4
2023-01-05,7.5
2023-01-06,7.5
2023-01-07,7.5
2023-01-08,7.4
2023-01-09,7.3
2023-01-10,7.2
2023-01-11,7.1
2023-01-12,7.1
2023-01-13,7.0
2023-01-14,7.0
2023-01-15,7.0
2023-01-16,6.8
2023-01-17,6.7
2023-01-18,6.5
2023-01-19,6.5
2023-01-20,6.3
2023-01-21,6.2
2023-01-22,6.1
2023-01-23,6.1
2023-01-24,6.1
2023-01-25,6.0
2023-01-26,6.0
2023-01-27,5.9
2023-01-28,5.8
2023-01-29,5.8
2023-01-30,5.7
2023-01-31,5.8
2023-02-01,5.8
2023-02-02,5.7
2023-02-03,5.7
2023-02-04,5.7
2023-02-05,5.7
2023-02-06,5.7
2023-02-07,5.6
2023-02-08,5.5
2023-02-09,5.4
2023-02-10,5.4
2023-02-11,5.4
2023-02-12,5.4
2023-02-13,5.5
2023-02-14,5.5
2023-02-15,5.6
2023-02-16,5.7
2023-02-17,5.9
2023-02-18,6.0
2023-02-19,6.1
2023-02-20,6.1
2023-02-21,6.3
2023-02-22,6.4
2023-02-23,6.6
2023-02-24,6.9
2023-02-25,6.4
2023-02-26,5.8
2023-02-27,5.5
2023-02-28,5.4
2023-03-01,5.3
2023-03-02,5.2
2023-03-03,5.3
2023-03-04,5.5
2023-03-05,5.5
2023-03-06,5.5
2023-03-07,5.5
2023-03-08,5.6
2023-03-09,5.8
2023-03-10,5.8
2023-03-11,5.7
2023-03-12,5.7
2023-03-13,5.8
2023-03-14,6.0
2023-03-15,5.9
2023-03-16,6.0
2023-03-17,6.2
2023-03-18,6.4
2023-03-19,6.9
2023-03-20,7.6
2023-03-21,7.4
2023-03-22,8.0
2023-03-23,8.7
2023-03-24,8.6
2023-03-25,8.2
2023-03-26,7.6
2023-03-27,6.9
2023-03-28,6.4
2023-03-29,7.1
2023-03-30,7.4
2023-03-31,7.4
2023-04-01,7.2
2023-04-02,7.0
2023-04-03,6.4
